district,Postal Code,,,,,,,,,
Allach-Untermenzing,"80995, 80997, 80999, 81247, 81249",,,,,,,,,
Altstadt-Lehel,"80331, 80333, 80335, 80336, 80469, 80538, 80539",,,,,,,,,
Au-Haidhausen,"81541, 81543, 81667, 81669, 81671, 81675, 81677",,,,,,,,,
Aubing-Lochhausen-Langwied,"81243, 81245, 81249",,,,,,,,,
Berg am Laim,"81671, 81673, 81735, 81825",,,,,,,,,
Bogenhausen,"81675, 81677, 81679, 81925, 81927, 81929",,,,,,,,,
Feldmoching-Hasenbergl,"80933, 80935, 80995",,,,,,,,,
Hadern,"80689, 81375, 81377",,,,,,,,,
Laim,"80686, 80687, 80689",,,,,,,,,
Ludwigsvorstadt-Isarvorstadt,"80335, 80336, 80337, 80469",,,,,,,,,
Maxvorstadt,"80333, 80335, 80539, 80636, 80797, 80798, 80799, 80801, 80802",,,,,,,,,
Milbertshofen-Am Hart,"80807, 80809, 80937, 80939",,,,,,,,,
Moosach,"80637, 80638, 80992, 80993, 80997",,,,,,,,,
Neuhausen-Nymphenburg,"80634, 80636, 80637, 80638, 80639",,,,,,,,,
Obergiesing,"81539, 81541, 81547, 81549",,,,,,,,,
Pasing-Obermenzing,"80687, 80689, 81241, 81243, 81245, 81247",,,,,,,,,
Ramersdorf-Perlach,"81539, 81549, 81669, 81671, 81735, 81737, 81739",,,,,,,,,d
Schwabing-Freimann,"80538, 80801, 80802, 80803, 80804, 80805, 80807, 80939",,,,,,,,,
Schwabing-West,"80796, 80797, 80798, 80799, 80801, 80803, 80804, 80809",,,,,,,,,
Schwanthalerhöhe,"80335, 80339",,,,,,,,,
Sendling,"80336, 80337, 80469, 81369, 81371, 81373, 81379",,,,,,,,,
Sendling-Westpark,"80686, 81369, 81373, 81377, 81379",,,,,,,,,
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,"81379, 81475, 81476, 81477, 81479",,,,,,,,,
Trudering-Riem,"81735, 81825, 81827, 81829",,,,,,,,,
Untergiesing-Harlaching,"81543, 81545, 81547",,,,,,,,,